Regiao - Sigla;Estado - Sigla;Municipio;Revenda;CNPJ da Revenda;Nome da Rua;Numero Rua;Complemento;Bairro;Cep;Produto;Data da Coleta;Valor de Venda;Valor de Compra;Unidade de Medida;Bandeira
NE;PI;TERESINA;JUNCO COMERCIAL LTDA; 02.760.727/0001-00;RUA JOAQUIM NELSON;2121;;PARQUE IDEAL;64078-625;GASOLINA ADITIVADA;31/03/2026;6,99;;R$ / litro;VIBRA
NE;PI;TERESINA;JUNCO COMERCIAL LTDA; 02.760.727/0001-00;RUA JOAQUIM NELSON;2121;;PARQUE IDEAL;64078-625;DIESEL S10;31/03/2026;7,59;;R$ / litro;VIBRA
NE;PI;TERESINA;JUNCO COMERCIAL LTDA; 02.760.727/0001-00;RUA JOAQUIM NELSON;2121;;PARQUE IDEAL;64078-625;ETANOL;31/03/2026;5,10;;R$ / litro;VIBRA
NE;PI;TERESINA;MOURA SOUSA E BONFIM LTDA; 01.416.988/0001-37;RODOVIA BR 343 KM 10;S/N;;RODOVIA;64045-970;GASOLINA;31/03/2026;6,59;;R$ / litro;ALE
NE;PI;TERESINA;MOURA SOUSA E BONFIM LTDA; 01.416.988/0001-37;RODOVIA BR 343 KM 10;S/N;;RODOVIA;64045-970;GASOLINA ADITIVADA;31/03/2026;6,99;;R$ / litro;ALE
NE;PI;TERESINA;MOURA SOUSA E BONFIM LTDA; 01.416.988/0001-37;RODOVIA BR 343 KM 10;S/N;;RODOVIA;64045-970;DIESEL;31/03/2026;7,29;;R$ / litro;ALE
NE;PI;TERESINA;MOURA SOUSA E BONFIM LTDA; 01.416.988/0001-37;RODOVIA BR 343 KM 10;S/N;;RODOVIA;64045-970;DIESEL S10;31/03/2026;7,39;;R$ / litro;ALE
NE;PI;TERESINA;MOURA SOUSA E BONFIM LTDA; 01.416.988/0001-37;RODOVIA BR 343 KM 10;S/N;;RODOVIA;64045-970;ETANOL;31/03/2026;5,07;;R$ / litro;ALE
NE;PI;TERESINA;FCN.X CARVALHO COMBUSTIVEL LTDA; 09.641.208/0001-64;AVENIDA HOMERO CASTELO BRANCO;630;SALA  C;SAO CRISTOVAO;64048-400;GASOLINA;30/03/2026;6,89;;R$ / litro;VIBRA
NE;PI;TERESINA;FCN.X CARVALHO COMBUSTIVEL LTDA; 09.641.208/0001-64;AVENIDA HOMERO CASTELO BRANCO;630;SALA  C;SAO CRISTOVAO;64048-400;GASOLINA ADITIVADA;30/03/2026;7,25;;R$ / litro;VIBRA
NE;PI;TERESINA;FCN.X CARVALHO COMBUSTIVEL LTDA; 09.641.208/0001-64;AVENIDA HOMERO CASTELO BRANCO;630;SALA  C;SAO CRISTOVAO;64048-400;DIESEL S10;30/03/2026;7,99;;R$ / litro;VIBRA
NE;PI;TERESINA;FCN.X CARVALHO COMBUSTIVEL LTDA; 09.641.208/0001-64;AVENIDA HOMERO CASTELO BRANCO;630;SALA  C;SAO CRISTOVAO;64048-400;ETANOL;30/03/2026;5,19;;R$ / litro;VIBRA
NE;PI;TERESINA;POSTO CERTO LTDA; 08.610.754/0001-75;AVENIDA JOAO XXIII;2180;;NOIVOS;64045-000;GASOLINA;30/03/2026;6,89;;R$ / litro;SABBÁ
NE;PI;TERESINA;POSTO CERTO LTDA; 08.610.754/0001-75;AVENIDA JOAO XXIII;2180;;NOIVOS;64045-000;GASOLINA ADITIVADA;30/03/2026;6,99;;R$ / litro;SABBÁ
NE;PI;TERESINA;POSTO CERTO LTDA; 08.610.754/0001-75;AVENIDA JOAO XXIII;2180;;NOIVOS;64045-000;DIESEL S10;30/03/2026;7,89;;R$ / litro;SABBÁ
NE;PI;TERESINA;POSTO CERTO LTDA; 08.610.754/0001-75;AVENIDA JOAO XXIII;2180;;NOIVOS;64045-000;ETANOL;30/03/2026;4,99;;R$ / litro;SABBÁ
NE;PI;TERESINA;POSTO CERTO LTDA; 08.610.754/0002-56;AVENIDA DEPUTADO PAULO FERRAZ;1771;;BEIRA RIO;64075-535;GASOLINA;31/03/2026;6,69;;R$ / litro;SABBÁ
